StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
110,0,199605,3.32,60.98,2.24,2.24,0.94,2.24,124,172,0.82,0.63,0.22,0.26,0.33,0.32,1.08,48.99,72.95
110,0,199606,2.87,69.87,1.9,1.9,-0.33,1.69,226,30,-0.22,0.41,0.36,0.26,0.39,0.14,1.1,57.07,82.65
110,0,199607,3.12,73.63,2.15,2.15,1.35,2.15,306,10,0.91,0.33,0.66,0.06,0.34,0.33,1.14,60.98,86.29
110,0,199608,2.66,72.43,2.11,2.11,0.54,2.11,288,11,0.13,0.62,0.31,0.24,0.3,0.35,1.17,59.65,85.21
110,0,199609,3.44,63.46,3.01,3.01,3.34,3.01,138,77,2.14,1.56,1.69,1.25,1.02,0.94,1.6,51.51,75.42
110,0,199610,2.49,53.65,3.15,3.15,1.35,3.15,46,279,0.48,1.47,1.33,1.35,0.76,0.88,1.53,41.23,66.07
110,0,199611,3,39.63,3.91,3.91,3.26,3.91,15,626,1.27,1.15,1.74,1.63,1.28,1.18,1.55,29.73,49.51
110,0,199612,3.29,33.91,5.07,5.07,4.7,5.07,7,757,1.64,1.83,1.65,2.17,1.86,1.73,1.71,24.12,43.68
110,0,199701,2.81,29.95,5.62,5.62,3.21,5.62,8,917,0.99,1.73,1.94,2.18,2.07,1.6,1.52,20.1,39.81
110,0,199702,2.39,36.05,5.38,5.38,1.02,5.38,11,665,0.61,1.14,1.8,2.29,2.25,1.91,1.68,26.02,46.08
110,0,199703,2.44,44.67,4.43,4.43,-1.21,3.92,32,541,-0.07,0.38,0.88,1.76,2.24,2.06,1.61,32.23,57.09
110,0,199704,2.99,47.91,4.84,4.84,2.6,4.84,20,407,1.03,0.61,0.81,1.8,2.18,2.18,1.63,35.96,59.86
110,0,199705,2.78,59.4,4.35,4.35,0.03,4.31,87,199,-0.25,0.49,0.31,1.38,2.04,1.96,1.34,46.49,72.28
110,0,199706,3.4,68.31,4.45,4.45,1.64,4.45,187,36,1.04,0.4,0.8,1.1,1.85,2.29,1.42,56.17,80.42
110,0,199707,2.71,73.18,4.27,4.27,0.82,4.27,314,10,-0.25,0.52,0.18,0.57,1.68,2.1,1.49,60.51,85.84
110,0,199708,2.68,71.74,4.1,4.1,0.84,4.1,270,18,0.18,-0.13,0.5,0.41,1.38,2.1,1.48,59.34,84.15
110,0,199709,2.54,66.42,3.63,3.63,-0.16,3.51,172,66,0.11,0.18,0.03,0.56,0.9,1.64,1.65,53.89,78.93
110,0,199710,2.52,53.92,3.66,3.66,1.2,3.66,47,277,0.52,0.42,0.42,0.4,0.67,1.62,1.66,41.59,66.24
110,0,199711,2.29,40.87,3.51,3.51,0.7,3.51,11,594,0.11,0.43,0.37,0.51,0.5,1.27,1.61,30.88,50.85
110,0,199712,2.31,34,3.38,3.38,0.68,3.38,6,802,-0.12,0.02,0.27,0.17,0.5,0.79,1.5,24.94,43.05
110,0,199801,3.36,34.99,4.18,4.18,3.46,4.18,12,757,1.86,1.23,0.99,0.91,0.83,1,1.54,25.66,44.31
110,0,199802,3.32,38.71,4.83,4.83,3.25,4.83,7,623,2.4,2.93,2.27,1.65,1.67,1.47,1.85,29.61,47.82
110,0,199803,3.23,41.34,5.07,5.07,2.2,5.07,11,593,1.45,2.42,3.03,2.13,1.84,1.92,2.17,30.83,51.84
110,0,199804,2.57,51.06,4.65,4.65,0.32,4.65,24,338,0.14,1.05,1.94,1.88,1.84,1.67,2.14,38.66,63.46
